序号	对话上文	回复	连接词	本体	喻体
78	这裤子不错 && 那你说我穿什么上衣呢啊啊啊啊	穿个贴身点的扎进去像模特一样呀	像...一样	我	模特

79	种花要有耐心 && 没有耐心	你要像对自己的孩子一样来对花绝对能养好	像...一样	花	自己的孩子

80	你是用绳命在娱乐大众啊 && 一定是	像个小孩一样天真善良的人，虽然他比我大！	像...一样	他	小孩

81	全都是男生 && 那你就是万绿丛中一朵小红花？	不，我活的像男孩子一样粗糙，完美的融入了他们	像...一样	我	男孩子

82	你要留长干什么？ && 扮野	不会像那些粗匡的爷们一样个头上街吧	像...一样	你	那些粗匡的爷们

83	那估计不会，不过量可以练出来 && 我不行	你可以的，像疯子一样的女子	像...一样	你	疯子

84	强迫症 && 我是真的有点强迫症＝＝	发现现在看到英语就想睡觉，英文就像瞌睡虫一样	像...一样	英文	瞌睡虫

85	脸瘦了些眼睛就变大了 && 瘦了还这么肥TAT	反正没见过像棍儿一样的熊猫	像...一样	熊猫	棍儿

86	走去蹦迪么 && 走啊你最近有空吗	我最近过着像猪一样忙的生活	像...一样	我	猪

87	你们都不搞清洁的吗？？ && 每周都做	那就是吖，怎么像看外星人一样看我呢	像...一样	看我	看外星人

88	我喜欢张嘉义大叔 && 大叔是正常的人类	今晚节目简直就像在KTV嗨歌一样	像...一样	今晚节目	在KTV嗨歌

89	光棍节我没礼物得么？ && 你都不是光棍	但是是单身啊…单得像鬼一样。	像...一样	我	鬼

90	那去呗！正好放假 && 是哦都忘了放假这事了	哈哈，每天都像放假一样过呢是吗~	像...一样	每天	放假

91	天然的红地毯 && 好漂亮啊～茶花在这边都很粗生	真好走到那里都像画一样	像...一样	茶花	画

92	我们是风一样的女子 && 应该是疯	现在真的在すばらしい我要像风一样自由……	像...一样	我	风

93	来快来摸摸我滑滑的 && 又没洗澡有什么可滑都	不洗澡也滑溜溜的像鱼一样	像...一样	我	鱼

94	去自习咯~~ && 我冷到哪都不想动。	嗯…确实够呛的。课室像个冰窖一样。	像...一样	课室	冰窖

95	狗儿囊个办咯晚上喂了没 && 喂了	你住酒店就好像上班一样！	像...一样	住酒店	上班

96	三妞长大了哇 && 现在更大啦，这是国庆照的了	妞妞的耳朵像扎俩小辫子一样	像...一样	耳朵	小辫子

97	摸摸头快继续睡 && 你咋这么晚才睡噢	不困。。结果早上像吃了三步倒一样走不下床又倒睡	像...一样	走不下床又倒睡	吃了三步倒

98	深圳暴雨！今晚睡个好觉 && 哇塞！降温了！	是的，不过外面真的像天上开了个洞一样	像...一样	深圳暴雨	天上开了个洞

99	紫霞 && 她真的太美太女神了	就像飞蛾一样，明知道会受伤，可还是会扑到火上	像...一样	紫霞	飞蛾

100	三点睡六点醒了 && 厉害了你	问题是还像打了鸡血一样没有瞌睡	像...一样	三点睡六点醒了	打了鸡血

101	你换头像啦 && 哈哈哈是的阿好看吗	还是喜欢你原来的哈哈带了墨镜像苍蝇一样哈哈	像...一样	你	苍蝇

102	我喜欢春光乍泄 && 春光乍泄的摄影特别赞	是啊整部电影都像是一个梦一样	像...一样	整部电影	梦

103	你就是那只丑鸟啄木鸟 && 啄木鸟好帅的	别的都帅就你最丑丑得像只猪一样	像...一样	你	猪

104	哈哈,好邪恶 && 木耳是什么意思	D8的专有名词，像护球一样护住你的女人	像...一样	护住你的女人	护球

105	睫毛好长！而且不怎么像他 && 像啊，但是好小啊	我只想感叹一下他的睫毛，像苍蝇腿一样	像...一样	他的睫毛	苍蝇腿

106	没呀 && 是呀，青岛太冷了	海边风像刀一样，某一年冻得我印象深刻	像...一样	海边风	刀

107	好几年没看见了！ && 然后变成蚂蝗	蜗牛变蚂蝗？？？不会像蝌蚪变青蛙一样吧！	像...一样	蜗牛变蚂蝗	蝌蚪变青蛙

108	好想每天早点下班 && 找份喜欢的工作	找份喜欢的工作就是像找个好男人一样，很难	像...一样	找份喜欢的工作	找个好男人

109	回家了？？？ && 天亮就回家	像逃难一样哈哈哈哈哈哈哈哈哈哈	像...一样	回家	逃难

110	哇，很久没见蓓蓓 && 雪藏	我现在也养多只，不过现在很像疯子一样	像...一样	我	疯子

111	带着点小惊恐的玉兔非礼 && 玉兔是什么意思	像雪团一样的兔子。夸你美美的啦	像...一样	兔子	雪团

112	007傻了吧唧的 && 啥007	你穿的像特工一样报警我要你咋这么蠢乎乎的	像...一样	你	特工

113	阿姨那，奶奶那不知道 && 好的！	仿佛感觉它该像熟酸奶一样受咱寝室欢迎	像...一样	它	熟酸奶

114	米老鼠 && 米老鼠是紫薯味的	冰皮啥感觉？是像雪月饼外壳一样的么	像...一样	冰皮	雪月饼外壳

115	你肥了很多？ && 七八斤吧....	哦是不是肥的像球一样啊	像...一样	你	球

116	我呢我呢 && 感觉你时时刻刻在身边	也对，就像氧气一样不可或缺	像...一样	我	氧气

117	别人都觉得我内向 && 那就外向点就行了呗！	我整个像疯子一样，还不够外向啊？	像...一样	我	疯子

118	过来跟我睡 && 干嘛好基友啊。。	不就是跟他睡一晚嘛，何必搞得像审犯人一样	像...一样	我	犯人

119	你是我的爱人~ && 是我的梦中情人	像玫瑰花一样的女人……	像...一样	女人	玫瑰花

120	小福里别人还没开始说什么就笑了 && 笑到肚纸疼	哈哈哈哈像咳嗽一样藏不住	像...一样	笑	咳嗽

121	下雨了吗？ && 和你一样太阳伞的呀	这些伞有点多的像蘑菇一样的哈哈哈	像...一样	这些伞	蘑菇

122	做梦去吧真是个极品 && 从此世间无真爱	真爱这东西就像鬼一样这世间谁都听说过谁也没见过	像...一样	真爱	鬼

123	你是导盲犬 && 结果还是条	你是我的爱人像玫瑰花一样的女人明天儿见	像...一样	你	玫瑰花

124	一个人多自在 && 像鱼一样	鱼都被煮了，像云一样不错	像...一样	一个人	云

125	而且都是熟人…… && 所以我已经退出朋友圈了	听起来像“退出娱乐圈”一样	像...一样	退出朋友圈	“退出娱乐圈”

126	手机不行，看不到掉的严重呢？ && 洗头头发掉一把	完了完了，就像树叶一样掉光咋办	像...一样	头发	树叶

127	甜甜，你缺个男人，快到我怀里来 && 你不是男人	像男人一样的女人也是可以的	像...一样	我	男人

128	心若镜涵 && 太文艺了，尴尬	那个意思是“内心像镜子一样可以映照出万物”	像...一样	内心	镜子

129	还没等到肾的买家 && 赶紧找买家啊	就好像找女朋友一样，你愿意，别人还挑呢	像...一样	找买家	找女朋友

130	那有填漳州的呢？ && 都没有	后！！感情就像面线一样断了那都填哪里？	像...一样	感情	面线

131	我觉得冬天还不错？！ && 你喜欢冬天的什么呢	可以穿的像球一样这样就看不出胖了	像...一样	我	球

132	不想刮腿毛这个理由好吗 && 非常好的理由	我的腿毛就像宇宙一样大爆炸了	像...一样	我的腿毛	宇宙

133	不会有艳遇，但会有好遇等着你 && 我要艳遇	会有像花一样的男子等着你	像...一样	男子	花

134	老霁真是个安静的美男子 && 你越来越有品位了	一直都这么认为，就像漫画里男主角一样	像...一样	老霁	漫画里男主角

135	睡眠质量这么好啊 && 我也很绝望，像猪	我更绝望，像一条狗一样	像...一样	我	一条狗

136	你又不是你了 && 双重人格吗	对，每天像狼人一样变身好几次	像...一样	你	狼人

137	你们那里是秋天吗？ && 要冬天啦	哇那你要穿的像熊一样了呢我们才刚盛夏呢	像...一样	你	熊

138	不错不错嘛，给我做一份送过来吧 && 路途遥远！	哈哈，那个像冰霜一样的糕点叫什么啊	像...一样	糕点	冰霜

139	天啦噜退这么长 && 天啦噜伞这么美	天啦噜我买了一只像蛋糕裙一样的伞	像...一样	伞	蛋糕裙

140	很快会放假的啦 && 我很自由要放假自己就放了	像光一样自由，幸福人生哇	像...一样	我	光

141	真幸福啊...哪像我 && 你没有五一假吗	只是放假前累得像狗一样...	像...一样	我	狗

142	爱可以延曲线传播吗 && 一般说来，是这样的	那肯定是像分子运动一样，会乱跑和发散	像...一样	爱可以延曲线传播	分子运动

143	怎么你这表情看起来有意见 && 长大了有心事了	哈哈哈哈这语气像长辈一样	像...一样	你	长辈

144	你学校好好看啊啊啊 && 滤镜太强大了！	你学校本来就是像度假村一样	像...一样	你学校	度假村

145	你怎么这么好玩啊，半夜去贴小广告~	才不好玩……像做贼一样、	像...一样	半夜去贴小广告	做贼

146	哈哈哈哈哈大白真的是敦厚，肉墩的墩、肥厚的厚！	脂肪超级柔软像气球一样	像...一样	脂肪	气球

147	嘴巴真丑，是不是刚舔过马桶啊	我好像就是骂了马桶一样的人	像...一样	人	就是骂了马桶

148	宝宝打隔是什么感觉：）？很想知道哦	好像心跳一样，很有规定的跳动。	像...一样	宝宝打隔	心跳

149	鲜艳的月季花，伴你快乐的生活	愿我们的生活像花一样美好！	像...一样	我们的生活	花

150	故事里永远会绽放的那些花儿。你也会绽放	故事取材于现实。每个像花儿一样的我们都会	像...一样	我们	花儿

151	近视超过300度的人，即使下个楼也会戴眼镜的	400度的我，不戴眼镜就像瞎子一样	像...一样	我	瞎子

152	明星艺人个个都很有钱吧，照样出来接戏赚钱	之前看过一个艺人吐槽说拍戏累得像狗一样	像...一样	艺人	狗

153	梦见前男友复合是几个意思，明明很讨厌他啊	我感觉我做梦就像看着电视剧一样	像...一样	做梦	看着电视剧

154	那些年那些事那一段疯狂热烈浪漫日子恍如隔世	我以为你要说像谈恋爱一样	像...一样	那些年那些事那一段疯狂热烈浪漫日子	谈恋爱

155	服装色彩在雪地上显得十分醒目	是呀，像走在白色画布中一样	像...一样	雪地	白色画布

156	宝贝，有时候皮一下很开心，但要注意安全哈	我一直相信在这个世界上会有像水一样纯净透彻的标准	像...一样	标准	水

157	雪花的优雅飘落，何尝不是一种生活态度	是呀，像雪花一样优雅的生活态度，一切都很美好。	像...一样	生活态度	雪花

158	我是不是看错剧了，我在看甜蜜蜜	看错了，该看幸福像花儿一样	像...一样	幸福	花儿

159	四川除了成都，其他的地方真穷啊！	你没出过门就不要像个井底之蛙一样出来丢人显眼啦	像...一样	你	井底之蛙

160	板栗木瓜烧排骨我怎么看到时板栗玉米排骨啊	木瓜化成酱了，就像番茄酱一样	像...一样	木瓜化成酱	番茄酱

161	然而，爱上一个人，第一感觉是平等。	是的，就像天平一样，付出的太多，天平就斜了。	像...一样	爱上一个人	天平

162	终于分手了如果是真的话我好开心	娱乐圈的感情就像烟花一样，	像...一样	娱乐圈的感情	烟花

163	啊啊啊啊啊啊女神我脱单啦！！	好幸福好幸福，像电视剧一样，祝你幸福哦	像...一样	脱单	电视剧

164	为什么朴树总给我一种海子的感觉	因为他的心像诗人一样纯真	像...一样	朴树	诗人

165	哈哈！你爸妈都挺有趣的。提起当年的爱情故事	不是爱情故事。。说到像悲催史一样	像...一样	爱情故事	悲催史

166	生气噢明明我是小主人不过超好吃的！	那请在下次喂食的时候别吃得像只猪一样开心	像...一样	我	只猪

167	大家记得去重返巅峰投票最后的机会惹！！	投票是每天必做的事，就像吃饭一样	像...一样	投票	吃饭

168	哇哇哇太可爱了我好喜欢最后一只猫咪！！！	我也是！眼睛里像是海一样	像...一样	眼睛	海

169	老奚亲爱的妳很棒！！站起来的姿态很美爱妳抱紧	原来要像鸵鸟一样站起来才是最美的	像...一样	妳	鸵鸟

170	不知道为什么大半夜看这种觉得特别恐怖特别可怕	感觉像在看恐怖片一样。	像...一样	这种	恐怖片

171	一些女生化妆前后手机不见得认得出来	应该像指纹一样能存好几个～每种妆容来一个就好了	像...一样	妆容	指纹

172	有没有感觉自己就是条美人鱼~	哈哈哈我也想，但是被裹的像粽子一样	像...一样	我	粽子

173	原来学姐也知道自己笑的很呆，所以不该笑嘛	你这是在嫉妒我笑得像花儿一样灿烂	像...一样	我	花儿

174	难道你没发现你对面的男人是在很猥琐的看你吗？	你一说，还真是猥琐，就像狼看见肉一样	像...一样	你对面的男人是在很猥琐的看你	狼看见肉

175	你觉得这一类享受孤独的人会变吗？	孤独就像水和空气一样，是他们的必需品。	像...一样	孤独	水和空气

176	我是双鱼座却不像鱼只有七秒的记忆	却像鱼一样，你看不到我眼泪	像...一样	我	鱼

177	如果和一个人玩游戏玩久了，会想着跟她在一起么。	不会吧，感觉更像兄弟一样的	像...一样	她	兄弟

178	有的人看起来风风光光，其实背后一只猫都没有	我觉得我的猫疯起来像狗一样	像...一样	猫	狗

179	我似乎看到李敏镐伸舌头了！！！	没有伸吧……就是像小鱼一样张嘴而已	像...一样	李敏镐	小鱼

180	--...突然狂风大作么,有点吓人	超吓人的……像要世界末日一样	像...一样	突然狂风大作	世界末日

181	咱们都走起来什么都会有的真的你们说呢？	三个人就像三角一样，哪个方向拿出手去都是最尖！	像...一样	三个人	三角

182	近视超过300度的人，即使下个楼也会戴眼镜的	对对对，不戴眼镜就像瞎子一样的	像...一样	近视超过300度的人	瞎子

183	还摆拍一下，真搞笑。想得华表奖啊。	我觉得，感觉好像是在搞演练一样	像...一样	摆拍	搞演练

184	真幸福啊！！！！羽绒服很好看！！！	真的像被子一样暖和舒服！！！！	像...一样	羽绒服	被子

185	看不起农村还是看不起土狗啊三观有问题吧	看不起脸盘子像大饼一样还没智商的你手打微笑	像...一样	脸盘子	大饼

186	我很正常啊，但我就是喜欢她，因为想起就觉得温暖	就像心里有个支柱一样，天塌下来也无妨	像...一样	她	支柱

187	他要撞杆子就撞杆子，为什么要螺旋飞过去笑死我了	整部剧飞起来的人都要像陀螺一样转来转去	像...一样	飞起来的人	陀螺

188	真正恩爱的夫妻都有哪一特质？没明白	相互平等，像“好朋友”一样。	像...一样	真正恩爱的夫妻	好朋友

189	如能忘掉渴望.岁月长.衣裳薄.	文字的力量就像时间一样	像...一样	文字的力量	时间

190	回来啦？欢迎回家！这里也有一大把爱你的人哟！	回来啦。一回来就立即切入像驴一样的战斗状态。	像...一样	你	驴

191	能不能把我拍的漂亮点，你这是羡慕我的美！	这样才能显示出你像风一样	像...一样	你	风

192	希望下一步取消省内流量全国流量之分	是啊，出个省搞得像出国一样	像...一样	出个省	出国

193	我从小就不敢荡秋千的感觉太恐怖	很好玩啊，像海盗船一样~	像...一样	秋千	海盗船

194	你不知道吃饱了才有力气减肥吗	每天还是像完成任务一样吃光光	像...一样	吃光光	完成任务

195	你今天应该把自己包得严严实实的才对	那我就会像包子一样，熟了的！！	像...一样	我	包子

196	喜欢，异域+自然+传统，很棒	嗯，身临其境更美好！真的就像天堂一样！	像...一样	异域+自然+传统	天堂

197	那种人眼珠子本来就露出不多，带上就仁者见仁了	哈哈真的巨丑眼睛又不是大就好看像鬼一样	像...一样	那种人	鬼

198	为什么整天称自己为猪猪男孩..	因为…最近吃得像猪一样	像...一样	自己	猪

199	看到这猫，莫名其妙的就想起了我	你的意思是像猫一样可爱？别开玩笑了	像...一样	你	猫

200	第七张是班长四年身材对比图么	是啊，岁月就像猪饲料一样摧残人	像...一样	岁月	猪饲料

201	看韩剧太着急了，演好几集剧情也不懂动地方	或者说是因为我懒。。。。。哈哈，像树懒一样	像...一样	我	树懒

202	而你撑伞拥我去怀中，一字一句誓言多慎重	像个笑话一样自己都嘲讽	像...一样	我	笑话

203	我觉得你说的太对了，对江秋莲从同情到无感	怎样和你有什么关系，搞的自己像圣人一样	像...一样	自己	圣人

204	是胖是瘦，你人没事就好 && 这孩纸真乖真好哈哈	道服穿的像大白似的，就是腿比他长	像...似的	这孩纸	大白

205	带礼物！ && 你也在北京表装了	那也买礼物我在北京像个囚犯似的出不去	像...似的	我	囚犯

206	你也在看男人帮 && 你也在看呀亲~	呵,是的,搞的像淘到宝似的	像...似的	看男人帮	淘到宝

207	你确定你不是萝卜？？ && 那也是被你啃了！	天地良心谁啃你了！别像个小媳妇似的	像...似的	你	小媳妇

208	那你别打扰我复习了复习的脑瓜子疼 && 剁了吧	你动我下试试脑瓜子给你掰下来像解刨小白鼠似的	像...似的	脑瓜子给你掰下来	解刨小白鼠

209	那你将来可要多生几个孩子 && 养不起养不起	也是，现在生个孩子就像生了个债主似的	像...似的	孩子	债主

210	涩费像个弟弟 && 重点是我后面的小女孩啊	我说的就是你后面的小女孩呀像个弟弟似的	像...似的	小女孩	弟弟

211	不去，你要去？ && 对啊，你也去吧	不去了，你和老梁那么惯，像亲妈似的……	像...似的	你	亲妈

212	迎老爷 && 听说有打架的啊	盐灶那什么老爷、像打架似的	像...似的	迎老爷	打架

213	果然跳街舞的都是柔软的天使啊	那腰好像都跟面条似的。	像...似的	腰	面条

